time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0959399, 0.99315, -0.0667041)","(0.215448, -0.974486, 0.062928)","(-0.00624079, -0.808079, 0.589042)","(0.967241, 0.15586, -0.20038)","(-0.331571, 0.614719, 0.715669)","(-0.0433177, -0.995961, -0.0786412)","(0.00682532, -0.99991, -0.0115132)","(-0.0432395, -0.917766, -0.39476)","(0.168397, -0.921496, -0.349981)",1
0.0333667,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0965053, 0.993195, -0.0652018)","(0.218285, -0.973902, 0.0621841)","(0.00248803, -0.807155, 0.590334)","(0.966837, 0.154029, -0.203721)","(-0.339098, 0.614034, 0.712723)","(-0.0419644, -0.995504, -0.0849218)","(0.00787219, -0.9999, -0.0117094)","(-0.0370279, -0.91552, -0.400566)","(0.169274, -0.921147, -0.350478)",0
0.0667333,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0974348, 0.993298, -0.0621751)","(0.22335, -0.972819, 0.0611426)","(0.0189655, -0.805283, 0.592588)","(0.966016, 0.150836, -0.209908)","(-0.353336, 0.612417, 0.707177)","(-0.0393793, -0.994613, -0.0958909)","(0.00986303, -0.999878, -0.0121047)","(-0.0262688, -0.911451, -0.410569)","(0.170726, -0.92041, -0.351708)",0
0.1001,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0978931, 0.993383, -0.0600659)","(0.226568, -0.972097, 0.0607759)","(0.0289555, -0.805025, 0.592534)","(0.965928, 0.146723, -0.213202)","(-0.362295, 0.610043, 0.704691)","(-0.0373635, -0.994194, -0.100908)","(0.011054, -0.999861, -0.0124689)","(-0.0217111, -0.909949, -0.414151)","(0.172349, -0.919496, -0.353302)",0
0.133467,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0977048, 0.993496, -0.0584778)","(0.228376, -0.971627, 0.0615197)","(0.0361853, -0.80487, 0.592347)","(0.96678, 0.141555, -0.212836)","(-0.369727, 0.607405, 0.703108)","(-0.0356352, -0.993991, -0.103498)","(0.0120368, -0.99985, -0.0124903)","(-0.0198944, -0.908555, -0.417291)","(0.17321, -0.918447, -0.355604)",0
0.166833,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0971815, 0.99362, -0.0572334)","(0.229227, -0.971299, 0.0635107)","(0.0407957, -0.804904, 0.592002)","(0.968733, 0.135538, -0.20781)","(-0.375078, 0.605205, 0.702171)","(-0.0342736, -0.993876, -0.105055)","(0.0128413, -0.999843, -0.0122427)","(-0.0195941, -0.90707, -0.420523)","(0.173543, -0.917465, -0.357969)",0
0.2002,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.096508, 0.993764, -0.0558433)","(0.229454, -0.971034, 0.0666626)","(0.0438594, -0.805418, 0.591083)","(0.971451, 0.129779, -0.198595)","(-0.378824, 0.603337, 0.701767)","(-0.0332722, -0.993814, -0.105953)","(0.0135439, -0.999837, -0.0119437)","(-0.0201937, -0.905577, -0.4237)","(0.173273, -0.916229, -0.361248)",0
0.233567,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0959433, 0.993898, -0.0544161)","(0.229325, -0.970811, 0.0702554)","(0.0451156, -0.806706, 0.589229)","(0.974446, 0.126238, -0.185791)","(-0.380426, 0.602349, 0.701749)","(-0.0324906, -0.99381, -0.106236)","(0.0139419, -0.999833, -0.0118353)","(-0.0211526, -0.904745, -0.425429)","(0.172724, -0.914425, -0.366052)",0
0.266933,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0953008, 0.994018, -0.0533453)","(0.228845, -0.970714, 0.0731048)","(0.0449063, -0.808215, 0.587173)","(0.976938, 0.123863, -0.173926)","(-0.381235, 0.601838, 0.701748)","(-0.031645, -0.993852, -0.106102)","(0.0141362, -0.99983, -0.011816)","(-0.0219801, -0.9042, -0.426543)","(0.171882, -0.912113, -0.372164)",0
0.3003,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(-0.0944848, 0.994117, -0.0529527)","(0.227864, -0.970772, 0.0753633)","(0.0434431, -0.809362, 0.585702)","(0.978959, 0.121999, -0.163574)","(-0.381874, 0.601805, 0.701429)","(-0.0307837, -0.993936, -0.105562)","(0.0142879, -0.99983, -0.0116355)","(-0.0225766, -0.904006, -0.426922)","(0.170665, -0.90986, -0.37819)",0
