time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.0667333,"(-0.00141303, 0.00172645, 2.58535e-06)","(0.146616, 0.988979, 0.0206027)","(-0.255278, -0.890804, 0.375901)","(-0.392901, -0.888847, 0.235755)","(0.15648, 0.135109, 0.978396)","(-0.970406, 0.0773129, 0.228766)","(-0.245504, -0.961836, 0.120827)","(0.105428, -0.982124, 0.155938)","(0.0724416, -0.960402, -0.269036)","(0.475499, -0.816401, -0.327704)",1
0.1001,"(-0.00141303, 0.00172645, 2.58535e-06)","(0.151745, 0.988094, 0.0253711)","(-0.248311, -0.882194, 0.400095)","(-0.433129, -0.874552, 0.218076)","(0.208078, 0.199223, 0.957608)","(-0.984865, 0.0693585, 0.158838)","(-0.230291, -0.969474, 0.0841838)","(0.120985, -0.98271, 0.140159)","(0.0568106, -0.962129, -0.26661)","(0.467174, -0.824493, -0.31931)",0
0.133467,"(-0.00210109, 0.0042532, 5.74654e-06)","(0.161297, 0.986433, 0.0305428)","(-0.238891, -0.866446, 0.43841)","(-0.540012, -0.83332, 0.118169)","(0.304214, 0.297038, 0.905109)","(-0.991979, 0.0870382, -0.0916593)","(-0.199396, -0.97954, 0.027254)","(0.148865, -0.982864, 0.108706)","(0.0256141, -0.964786, -0.261786)","(0.446714, -0.839533, -0.309243)",0
0.166833,"(-0.00282836, 0.00673184, 8.42344e-06)","(0.168552, 0.985192, 0.0314173)","(-0.252228, -0.845063, 0.471433)","(-0.635876, -0.771791, -0.000408423)","(0.34605, 0.397344, 0.849922)","(-0.925394, 0.107104, -0.363558)","(-0.180017, -0.98365, 0.00518212)","(0.159925, -0.983011, 0.0900734)","(0.00582917, -0.967378, -0.253271)","(0.442898, -0.841291, -0.309953)",0
0.2002,"(-0.00325073, 0.00908958, 1.05733e-05)","(0.174218, 0.984332, 0.0271764)","(-0.267356, -0.829125, 0.490991)","(-0.702902, -0.702766, -0.109768)","(0.371506, 0.435509, 0.819948)","(-0.791348, 0.152514, -0.592038)","(-0.167048, -0.985949, 0.000114539)","(0.162834, -0.983388, 0.0802054)","(-0.0074553, -0.970053, -0.242781)","(0.440192, -0.840995, -0.314577)",0
0.233567,"(-0.0035579, 0.0113001, 1.20046e-05)","(0.179996, 0.983415, 0.0222685)","(-0.277315, -0.822463, 0.49664)","(-0.73216, -0.667253, -0.136803)","(0.377869, 0.443844, 0.812538)","(-0.701092, 0.194375, -0.686067)","(-0.159952, -0.987084, -0.00895357)","(0.161909, -0.983651, 0.0788498)","(-0.013488, -0.973147, -0.229789)","(0.445281, -0.836939, -0.318211)",0
0.266933,"(-0.0035579, 0.0113001, 1.20046e-05)","(0.18435, 0.982752, 0.0146283)","(-0.279352, -0.815724, 0.506514)","(-0.743696, -0.651469, -0.150017)","(0.385088, 0.439832, 0.811329)","(-0.644787, 0.243678, -0.72448)","(-0.155761, -0.98766, -0.0163042)","(0.162538, -0.9835, 0.0794299)","(-0.016736, -0.97547, -0.219496)","(0.453694, -0.83324, -0.316026)",0
0.3003,"(-0.00384209, 0.0147336, 1.08399e-05)","(0.187672, 0.982231, 0.000949978)","(0, 0, 0)","(-0.745385, -0.646978, -0.160691)","(0, 0, 0)","(-0.623733, 0.266616, -0.734761)","(-0.152149, -0.98816, -0.0197652)","(0.163316, -0.983403, 0.0790393)","(-0.0201264, -0.976657, -0.213859)","(0.462861, -0.829317, -0.313038)",0
0.333667,"(-0.00384209, 0.0147336, 1.08399e-05)","(0.190043, 0.981671, -0.0143187)","(0, 0, 0)","(-0.742445, -0.646295, -0.176292)","(0, 0, 0)","(-0.610427, 0.26623, -0.74599)","(-0.148246, -0.988807, -0.0168594)","(0.163194, -0.983578, 0.0770828)","(-0.0249372, -0.976894, -0.212263)","(0.469724, -0.827639, -0.307203)",0
0.367033,"(-0.00389255, 0.0169761, 7.0842e-06)","(0.191988, 0.980914, -0.0308028)","(0, 0, 0)","(-0.735954, -0.653599, -0.176578)","(0, 0, 0)","(-0.613966, 0.249473, -0.748872)","(-0.14587, -0.989204, -0.0140459)","(0.16207, -0.984044, 0.0734214)","(-0.0276301, -0.97715, -0.210746)","(0.474213, -0.82705, -0.301844)",0
0.4004,"(-0.00389255, 0.0169761, 7.0842e-06)","(0.193418, 0.98031, -0.0397604)","(0, 0, 0)","(-0.732317, -0.659007, -0.171526)","(0, 0, 0)","(-0.621589, 0.237195, -0.746569)","(-0.144321, -0.989452, -0.0125373)","(0.161289, -0.984424, 0.0699688)","(-0.0289362, -0.977414, -0.209342)","(0.478342, -0.826364, -0.297172)",0
0.433767,"(-0.00389255, 0.0169761, 7.0842e-06)","(0.193635, 0.980075, -0.0442619)","(0, 0, 0)","(-0.728216, -0.666382, -0.160115)","(0, 0, 0)","(-0.645049, 0.234159, -0.72738)","(-0.145182, -0.989338, -0.0114788)","(0.160063, -0.984822, 0.0671235)","(-0.0275262, -0.977824, -0.207611)","(0.482705, -0.825921, -0.291293)",0
